kind,id,name,verdict,go_location,aspect,go_value,server_value,classic_value,notes
item,9449,Manual Crowd Pummeler,not_modeled,sim/common/tbc/melee_items.go:19,buff duration,permanent +500 haste,30s,30s,Sim assumes pummeler swapping for full uptime; 500 haste matches
item,11815,Hand of Justice,real,sim/common/tbc/melee_trinkets.go:37,proc rate,1.3333% flat per melee hit,1 PPM with REDUCE_PROC_60 (x1/3 at lvl 80) = ~1.44% @2.6s speed,,"spell_proc 15600: PPM=1 overrides Chance=2; weapon-speed dependent; 2s ICD matches; applied in sim/common/tbc/melee_trinkets.go: PPM, ICD and REDUCE_PROC_60 from spell_proc 15600 (wotlk.ServerProcFor)"
item,19019,"Thunderfury, Blessed Blade of the Windseeker",not_modeled,sim/common/tbc/melee_items.go:44,target attack speed slow,none,20% slow 12s (27648),20%,Sim models 300 dmg and -25 nature res (both match) but not the attack speed slow
item,19019,"Thunderfury, Blessed Blade of the Windseeker",real,sim/common/tbc/melee_items.go:26,PPM,6,8,,item_template spellppmRate_1=8 set by mod-individual-progression vanilla_item_changes.sql; applied in sim/common/tbc/melee_items.go as a literal 8: item_template PPMs aren't in serverdata
item,20966,Jade Pendant of Blasting,not_modeled,sim/core/constants.go:30,party spell power buff,none,15 SP for 30 min,15,Only an item ID constant; not referenced anywhere in sim
item,24114,Braided Eternium Chain,false_positive,sim/core/buffs.go:295,party crit rating,28 melee+spell crit rating,28,28,Matches; server's +5 weapon dmg equip (33488) matches melee_items.go:105; 1h use cooldown doesn't apply since the sim models the buff as always on
item,28830,Dragonspine Trophy,real,sim/common/tbc/melee_trinkets.go:78,PPM,1.0,1.5,,"325 haste, 10s, 20s ICD match; applied in sim/common/tbc/melee_trinkets.go: PPM and ICD from spell_proc 34774"
item,29996,Rod of the Sun King,false_positive,sim/common/tbc/melee_items.go:205,rage gain,5 rage,50 (rage x10 units = 5 rage),5,Energy 10 also matches
item,29996,Rod of the Sun King,real,sim/common/tbc/melee_items.go:178,PPM,1.0,6,,item_template spellppmRate_1=6; applied in sim/common/tbc/melee_items.go as a literal 6: item_template PPMs aren't in serverdata
item,30720,Serpent-Coil Braid,false_positive,sim/mage/mana_gems.go:28,mana gem bonus,0.25,25% (effect2=100 is class-script marker),25%,effect2 is OVERRIDE_CLASS_SCRIPTS misc 5497; 225 SP 15s (37445) matches
item,30892,Beast-tamer's Shoulders,false_positive,sim/common/tbc/other_items.go:14,pet damage,1.03,3%,3%,duration=4 is passive-aura bookkeeping
item,30892,Beast-tamer's Shoulders,false_positive,sim/common/tbc/other_items.go:15,pet crit,2%,2%,2%,duration=4 is passive-aura bookkeeping
item,32330,Totem of Ancestral Guidance,false_positive,sim/shaman/electric_spell.go:84,LB/CL spell power,85,85,85,Matches
item,32336,Black Bow of the Betrayer,false_positive,sim/hunter/items.go:25,mana on ranged hit,8,8 (29471),8,Target mana drain (27526) not modeled; irrelevant for sim
item,32375,Bulwark of Azzinoth,real,sim/common/tbc/melee_items.go:301,proc rate,2% flat per physical hit taken,"6 PPM (spell_proc; uses wearer's weapon speed, ~26% @2.6s)",2%,"2000 armor 10s matches; applied in sim/common/tbc/melee_items.go: PPM from spell_proc 40407 on melee and ranged hits taken, at the wearer's weapon speed"
item,32387,Idol of the Raven Goddess,not_modeled,sim/druid/items.go:394,Tree of Life healing SP,none,44,44,40 crit rating for LotP/Moonkin matches
item,32486,Ashtongue Talisman of Equilibrium,false_positive,sim/druid/items.go:314,proc chances/amounts,Starfire 25% 150 SP 8s; Mangle 40% 140 Str 8s,same (AC script + 40445/40452),same,Rejuvenation 112 SP part not modeled
item,32489,Ashtongue Talisman of Zeal,false_positive,sim/paladin/items.go:510,judgement DoT,50% chance 480 over 8s,50% 480 over 8s (40472),480,FoL/HL HoT part not modeled
item,32505,Madness of the Betrayer,real,sim/common/tbc/melee_trinkets.go:143,PPM,1.0,3,,42 ArP 10s matches; applied in sim/common/tbc/melee_trinkets.go: PPM from spell_proc 40475
item,33506,Skycall Totem,real,sim/shaman/items.go:70,haste proc amount,101,100,100,"Tiny; 15% chance, 30s ICD, 10s match"
item,34334,"Thori'dal, the Stars' Fury",false_positive,sim/hunter/hunter.go:164,ranged speed,1.15,15%,15%,Applied as passive for all hunters
item,34334,"Thori'dal, the Stars' Fury",false_positive,sim/hunter/hunter.go:166,no ammo,ammo DPS skipped,no ammo,,No numeric value
item,34429,Shifting Naaru Sliver,false_positive,sim/common/tbc/caster_trinkets.go:15,Power Circle,320 SP / 15s / 90s CD,320 SP / 15s / 90s CD,320 SP / 15s,"flagged 45043 effect1=100 is the ground effect's dummy aura (effect 27, aura 4); the circle applies 45044 Limitless Power (320 SP, 15s), which isn't in the trigger chain"
item,37220,Essence of Gossamer,not_modeled,sim/common/wotlk/other_effects.go:25,absorb cap,uncapped for 10s,4000 total,4000,"140 per hit, 5%, 50s ICD match; cap also in Classic"
item,38287,Empty Mug of Direbrew,false_positive,sim/common/tbc/melee_trinkets.go:17,effect3,n/a,30 (aura type 0),,effect3 applies no aura; 278 AP/RAP 20s matches
item,38361,Venture Co. Lightning Rod,false_positive,sim/shaman/lavaburst.go:12,Lava Burst damage,121,121,121,Matches
item,38367,Venture Co. Flame Slicer,false_positive,sim/shaman/lavalash.go:25,Lava Lash damage,25,25,25,Matches
item,40191,Libram of Radiance,false_positive,sim/paladin/crusader_strike.go:12,Crusader Strike damage,79,105 x 75% weapon dmg = 79,79,Matches after CS weapon % scaling
item,40258,Forethought Talisman,real,sim/common/wotlk/other_effects.go:225,HoT total,3752 (938/tick),3572 (893 x 4),3572,Go typo (digits swapped); 12s duration matches; applied in sim/common/wotlk/other_effects.go
item,40258,Forethought Talisman,real,sim/common/wotlk/other_effects.go:237,proc trigger,crit heals only,any direct heal (HitMask default normal+crit),direct heals,"20% and 45s ICD match; applied in sim/common/wotlk/other_effects.go: any landed direct heal, chance and ICD from spell 60529"
item,40267,Totem of Hex,false_positive,sim/shaman/electric_spell.go:85,LB/CL spell power,165,165,165,Matches
item,40322,Totem of Dueling,real,sim/shaman/stormstrike.go:86,AP on proc,none (60 haste only),+120 AP 6s (60766 effect2 MOD_ATTACK_POWER),not in tooltip,60 haste 6s matches
item,40710,Totem of Splintering,false_positive,sim/shaman/weapon_imbues.go:38,Windfury AP,212,212,212,Matches
item,40712,Idol of Steadfast Renewal,false_positive,sim/druid/wrath.go:15,Wrath damage,70,70,70,Matches
item,40713,Idol of the Ravenous Beast,false_positive,sim/druid/shred.go:13,Shred damage,203 (post 225%),90 pre-225% = 203,203,Server mods Shred effect1 before weapon % scaling
item,42598,Furious Gladiator's Totem of the Third Wind,real,sim/shaman/heals.go:34,LHW bonus,338 flat heal,320 spell power (scaled by LHW coeff),338,"Also Go adds this bonus to Healing Wave (heals.go:185), a sim bug"
item,42987,Darkmoon Card: Greatness,false_positive,sim/common/wotlk/highest_stat_effects.go:82,proc chance/ICD,35% / 45s,35% / 45s,35% / 45s,Matches (300 stat 15s too)
item,44253,Darkmoon Card: Greatness,false_positive,sim/common/wotlk/highest_stat_effects.go:82,proc chance/ICD,35% / 45s,35% / 45s,35% / 45s,Matches
item,44254,Darkmoon Card: Greatness,false_positive,sim/common/wotlk/highest_stat_effects.go:82,proc chance/ICD,35% / 45s,35% / 45s,35% / 45s,Matches
